Softening Temperature (°C),Shear Modulus (GPa)
5,8.836856695102824,0.85% octyldimethylmethoxysilane
8,9.627292099928013,0.85% octyldimethylmethoxysilane
16,3.0488240923171723,0.85% octyldimethylmethoxysilane
18,5.737069403865727,0.85% octyldimethylmethoxysilane
5,3.643715388951165,0.28% octyldimethylmethoxysilane
8,12.475858091114773,0.28% octyldimethylmethoxysilane
16,-49.92960519516133,0.28% octyldimethylmethoxysilane
18,403.7634088923457,0.28% octyldimethylmethoxysilane
5,-5.399645379792281,0.5% octyldimethylmethoxysilane
8,-5.58423564290643,0.5% octyldimethylmethoxysilane
16,-5.669681316290415,0.5% octyldimethylmethoxysilane
18,-5.673401698209668,0.5% octyldimethylmethoxysilane
5,6.190639555504428,0.88% octyldimethylmethoxysilane
8,6.0577147518457215,0.88% octyldimethylmethoxysilane
16,5.9684782477546925,0.88% octyldimethylmethoxysilane
18,5.964859254023815,0.88% octyldimethylmethoxysilane
5,-3.6426857565998216,0.86% octyldimethylmethoxysilane
8,-3.7963675386935276,0.86% octyldimethylmethoxysilane
16,-3.8649856428863045,0.86% octyldimethylmethoxysilane
18,-3.868229525810537,0.86% octyldimethylmethoxysilane
