Frequency (Hz),Toughness (MJ/m³)
5.091083063663389,-2.9064605870489593,0.5% titania/DGEBD Epoxy Resin
6.86571242814119,-3.118779339755549,0.5% titania/DGEBD Epoxy Resin
9.230730165166756,-3.198393316303301,0.5% titania/DGEBD Epoxy Resin
10.408693931519199,-3.1925478458201573,0.5% titania/DGEBD Epoxy Resin
13.022523230077327,-3.2969566397191343,0.5% titania/DGEBD Epoxy Resin
5.091083063663389,-1.5556473569225147,0.99% titania/DGEBD Epoxy Resin
6.86571242814119,-1.6168301862608394,0.99% titania/DGEBD Epoxy Resin
9.230730165166756,-1.7134004978505106,0.99% titania/DGEBD Epoxy Resin
10.408693931519199,-1.801718425832083,0.99% titania/DGEBD Epoxy Resin
13.022523230077327,-1.8927842199912968,0.99% titania/DGEBD Epoxy Resin
5.091083063663389,3.878889241604811,0.03% titania/DGEBD Epoxy Resin
6.86571242814119,3.869769864169818,0.03% titania/DGEBD Epoxy Resin
9.230730165166756,17.794913158279158,0.03% titania/DGEBD Epoxy Resin
10.408693931519199,2.0921450118104996,0.03% titania/DGEBD Epoxy Resin
13.022523230077327,68.67230256144049,0.03% titania/DGEBD Epoxy Resin
5.091083063663389,-0.9353084108480705,0.14% titania/DGEBD Epoxy Resin
6.86571242814119,-1.0019584116102334,0.14% titania/DGEBD Epoxy Resin
9.230730165166756,-1.0727005171212705,0.14% titania/DGEBD Epoxy Resin
10.408693931519199,-1.0866749423737254,0.14% titania/DGEBD Epoxy Resin
13.022523230077327,-1.1091545913946228,0.14% titania/DGEBD Epoxy Resin
