filler labels,Reduction Potential (V)
9.673463207089075,31.934718634301298,Colloidal silica/PEA
11.694379712020968,63.16985276460291,Colloidal silica/PEA
13.457623595953446,139.74291086641787,Colloidal silica/PEA
18.498422061334583,350.6695731621892,Colloidal silica/PEA
9.673463207089075,9.140929295767867,BaTiO3/PEA
11.694379712020968,62.1475727353844,BaTiO3/PEA
13.457623595953446,69.93892162113194,BaTiO3/PEA
18.498422061334583,737.6037182193699,BaTiO3/PEA
9.673463207089075,6.258159091719571,octyldimethylmethoxysilane/PEA
11.694379712020968,4.32233288772127,octyldimethylmethoxysilane/PEA
13.457623595953446,6.4273920376282705,octyldimethylmethoxysilane/PEA
18.498422061334583,3.0886310478741015,octyldimethylmethoxysilane/PEA
9.673463207089075,6.815091563661715,dodecylbenzene sulfonic acid/PEA
11.694379712020968,6.8002255402708744,dodecylbenzene sulfonic acid/PEA
13.457623595953446,6.782401481386662,dodecylbenzene sulfonic acid/PEA
18.498422061334583,6.769293245705418,dodecylbenzene sulfonic acid/PEA
9.673463207089075,1.8652796442874426,cellulose nanocrystals/PEA
11.694379712020968,1.8461329795352042,cellulose nanocrystals/PEA
13.457623595953446,1.8347311134112383,cellulose nanocrystals/PEA
18.498422061334583,1.821214202295705,cellulose nanocrystals/PEA
