Polymer Molecular Weight (g/mol),Poisson’s Ratio
3.2542789845283027,0.9773405995367155,0.74% silica/PA63T
7.269198948055518,0.7165574944561894,0.74% silica/PA63T
8.009164920733205,0.7029353627740901,0.74% silica/PA63T
8.179889492513517,0.7112387532599725,0.74% silica/PA63T
11.9551511807981,0.6453795432094228,0.74% silica/PA63T
19.50370359914806,0.6192628382451137,0.74% silica/PA63T
1.9863631902569123,1.0651145412900815,0.96% silica/PA63T
6.633103395256025,0.7708816900473391,0.96% silica/PA63T
8.259136758690428,0.6670645093457152,0.96% silica/PA63T
11.139940654700261,0.5612620670895361,0.96% silica/PA63T
16.44521139334899,0.45240150795368317,0.96% silica/PA63T
17.770815262705774,0.4282432600835723,0.96% silica/PA63T
1.1946483404098607,-5.806085105094136,0.56% silica/PA63T
9.335267146008093,-6.356148315368208,0.56% silica/PA63T
10.935834411814795,-6.431926479250577,0.56% silica/PA63T
13.124067263975363,-6.529954005599981,0.56% silica/PA63T
14.568440184286608,-6.564746264575419,0.56% silica/PA63T
16.531236676544047,-6.58749884967215,0.56% silica/PA63T
