Polymer Molecular Weight (g/mol),Dielectric Loss
0.07137055924275382,0.5828069735830429,Bentonite clay/Poly(4-vinyl pyridine)
4.219327697199353,3.46266275826786,Bentonite clay/Poly(4-vinyl pyridine)
19.6969684362142,-120.52903700559865,Bentonite clay/Poly(4-vinyl pyridine)
0.07137055924275382,-2.801534885534681,Titanium dioxide/Poly(4-vinyl pyridine)
4.219327697199353,0.2587338383189808,Titanium dioxide/Poly(4-vinyl pyridine)
19.6969684362142,646.7853062354405,Titanium dioxide/Poly(4-vinyl pyridine)
0.07137055924275382,5.708969700244074,Fe3O4/Poly(4-vinyl pyridine)
4.219327697199353,10.091536174594628,Fe3O4/Poly(4-vinyl pyridine)
19.6969684362142,399.70770701859993,Fe3O4/Poly(4-vinyl pyridine)
0.07137055924275382,-6.075164602276791,White spirits/Poly(4-vinyl pyridine)
4.219327697199353,-6.919853743981983,White spirits/Poly(4-vinyl pyridine)
19.6969684362142,-7.148238856830651,White spirits/Poly(4-vinyl pyridine)
0.07137055924275382,-1.514475265100812,OAPS/Poly(4-vinyl pyridine)
4.219327697199353,-2.1703120612398696,OAPS/Poly(4-vinyl pyridine)
19.6969684362142,-2.4250752908885618,OAPS/Poly(4-vinyl pyridine)
