pH,Thermal Diffusivity (mm²/s)
0.2938592635291193,7.768279389668894,
3.780351017313941,7.513847635082856,
5.8450989305470635,7.291043558375353,
7.01531939307438,7.326404411929638,
12.736724149790124,7.0528381932000075,
1,4.7742710726500075,
9,4.176146040020079,
14,4.066165459615751,
15,4.026337494837727,
19,3.9644135003763163,
2.5638545417147762,-6.511265352081667,
10.421190151532384,-3.4402505511744614,
12.08901779843834,-4.508879847968642,
13.896778099669678,-6.8202226710156175,
14.778355903487954,-2.2121396009245027,
