Nanoparticle Mass (%),Crystallization Temperature (°C)
1.3401301594940196,4.533339904800031,PAN
1.820729647330701,4.329986538916566,PAN
7.218280328213806,3.9162247579446037,PAN
9.919570783535793,3.8695623660094842,PAN
9.995352852064068,3.865549871142746,PAN
1.3401301594940196,8.415484290937338,PHEA
1.820729647330701,8.776284524976443,PHEA
7.218280328213806,8.156422571760581,PHEA
9.919570783535793,8.073007822864975,PHEA
9.995352852064068,8.03183164879519,PHEA
1.3401301594940196,-3.51563188383593,P2VP
1.820729647330701,-3.7144550774346756,P2VP
7.218280328213806,-3.9669167337273246,P2VP
9.919570783535793,-4.0958703089959965,P2VP
9.995352852064068,-4.130260662219903,P2VP
