Time (s),Elastic Modulus (GPa)
9,2.4920233203351647,Silicon carbide/Acrylonitrile butadiene styrene
13,2.3792664498233806,Silicon carbide/Acrylonitrile butadiene styrene
16,2.3139903163206017,Silicon carbide/Acrylonitrile butadiene styrene
9,-4.646421047295772,PVA/Acrylonitrile butadiene styrene
13,-4.695673791246075,PVA/Acrylonitrile butadiene styrene
16,-4.706730662375825,PVA/Acrylonitrile butadiene styrene
9,-2.3061272899363643,graphitic nanoplatelets/Acrylonitrile butadiene styrene
13,-2.354553039046165,graphitic nanoplatelets/Acrylonitrile butadiene styrene
16,-2.365629647140154,graphitic nanoplatelets/Acrylonitrile butadiene styrene
9,7.0734594549946035,MWNTs/Acrylonitrile butadiene styrene
13,7.020079446320764,MWNTs/Acrylonitrile butadiene styrene
16,7.009702117561484,MWNTs/Acrylonitrile butadiene styrene
9,6.491878727325892,Acetylene black/Acrylonitrile butadiene styrene
13,6.450774481008564,Acetylene black/Acrylonitrile butadiene styrene
16,6.439891606225018,Acetylene black/Acrylonitrile butadiene styrene
