Aging Temperature (°C),Electric Field Strength (V/m)
0.13836945001207468,0.09099000656090572,TGDDM
3.891169380877424,4.103712848113979,TGDDM
12.18661035370994,-12.1527557503657,TGDDM
13.633315874260038,42.60697417023803,TGDDM
19.647695540194142,327.05963585981453,TGDDM
0.13836945001207468,4.573897257926376,Polybutadiene
3.891169380877424,4.5883739179780925,Polybutadiene
12.18661035370994,4.2091810484948695,Polybutadiene
13.633315874260038,4.169269924173923,Polybutadiene
19.647695540194142,4.06017772994457,Polybutadiene
0.13836945001207468,-4.910891769283716,PA 6(3)T
3.891169380877424,-5.192119254490827,PA 6(3)T
12.18661035370994,-5.558475306937544,PA 6(3)T
13.633315874260038,-5.595104150714876,PA 6(3)T
19.647695540194142,-5.717722821092494,PA 6(3)T
