Mechanical Strength (MPa),Glass Transition Temperature (°C)
9.608909879573462,15.063613671307813,0.8% Silver hexafluoroantimonate
10.898621913027862,42.42419414243656,0.8% Silver hexafluoroantimonate
16.85785740777466,210.48272465352423,0.8% Silver hexafluoroantimonate
19.942665528258093,295.07714821786067,0.8% Silver hexafluoroantimonate
9.608909879573462,4.108750405072435,0.54% Silver hexafluoroantimonate
10.898621913027862,4.090767623113432,0.54% Silver hexafluoroantimonate
16.85785740777466,4.059232073770042,0.54% Silver hexafluoroantimonate
19.942665528258093,4.0553282263389185,0.54% Silver hexafluoroantimonate
9.608909879573462,-3.5322577218325173,0.58% Silver hexafluoroantimonate
10.898621913027862,-3.5978065474900336,0.58% Silver hexafluoroantimonate
16.85785740777466,-3.769556839391111,0.58% Silver hexafluoroantimonate
19.942665528258093,-3.8109687201346487,0.58% Silver hexafluoroantimonate
