Surfactant Concentration (M),Reduction Potential (V)
1.559761128497601,-0.6913176493205218,Poly(2-hydroxyethyl acrylate)
3.9786253954169792,1.3191429121028442,Poly(2-hydroxyethyl acrylate)
9.638669973628723,30.144837178284163,Poly(2-hydroxyethyl acrylate)
10.586097327552551,23.10878858113012,Poly(2-hydroxyethyl acrylate)
12.097288010748636,7.469179854332166,Poly(2-hydroxyethyl acrylate)
1.559761128497601,-3.9635791471985637,PP
3.9786253954169792,-2.8559930717886006,PP
9.638669973628723,13.078598532989567,PP
10.586097327552551,28.76352480155765,PP
12.097288010748636,26.62540251976649,PP
1.559761128497601,-1.1775933283142836,PHFP
3.9786253954169792,-1.775339221253484,PHFP
9.638669973628723,-2.0012059289074773,PHFP
10.586097327552551,-2.012673372932468,PHFP
12.097288010748636,-2.030582515364886,PHFP
1.559761128497601,-5.086319766316086,SBR
3.9786253954169792,-5.355602973059384,SBR
9.638669973628723,-5.629810263196258,SBR
10.586097327552551,-5.6312250904108865,SBR
12.097288010748636,-5.652264475379568,SBR
