Coefficient Of Thermal Expansion (1/K),Specific Viscosity
8.041157097899983,7.919788480816131,0.65% cellulose nanowhiskers
11.503144305086572,7.85224479732011,0.65% cellulose nanowhiskers
15.838631646375902,7.827388788673889,0.65% cellulose nanowhiskers
16.284184201485687,7.826209429706793,0.65% cellulose nanowhiskers
8.041157097899983,23.2235329315725,0.53% cellulose nanowhiskers
11.503144305086572,36.293929032095406,0.53% cellulose nanowhiskers
15.838631646375902,7.624513164815273,0.53% cellulose nanowhiskers
16.284184201485687,-15.39287461875072,0.53% cellulose nanowhiskers
8.041157097899983,7.230304683124743,0.5% cellulose nanowhiskers
11.503144305086572,7.780466160576094,0.5% cellulose nanowhiskers
15.838631646375902,12.233513073940834,0.5% cellulose nanowhiskers
16.284184201485687,19.162389909525736,0.5% cellulose nanowhiskers
8.041157097899983,-0.3081124131839057,0.24% cellulose nanowhiskers
11.503144305086572,1.0060128681427951,0.24% cellulose nanowhiskers
15.838631646375902,12.844077419042618,0.24% cellulose nanowhiskers
16.284184201485687,6.722894899314083,0.24% cellulose nanowhiskers
