Incubation Time (h),Compressive Modulus (GPa)
5,-2.059043070807282,0.8% barium titanate/PBI
12,-2.3918521859345065,0.8% barium titanate/PBI
16,-2.464045788182237,0.8% barium titanate/PBI
17,-2.501121918975233,0.8% barium titanate/PBI
18,-2.519905580609753,0.8% barium titanate/PBI
5,1.6914183339818847,0.05% barium titanate/PBI
12,1.513517608599854,0.05% barium titanate/PBI
16,1.4946377119418417,0.05% barium titanate/PBI
17,1.4922932887108695,0.05% barium titanate/PBI
18,1.4908532918429398,0.05% barium titanate/PBI
