Incubation Time (h),Viscosity (Pa·s)
1,5.178643524754228,OFG/Polylactic acid
6,4.4537104112681405,OFG/Polylactic acid
8,4.390763893228865,OFG/Polylactic acid
15,4.311165805268366,OFG/Polylactic acid
16,4.307668918730513,OFG/Polylactic acid
1,-0.24225185994101095,Aluminium oxide/Polylactic acid
6,-0.7696375261874008,Aluminium oxide/Polylactic acid
8,-0.8391732029666807,Aluminium oxide/Polylactic acid
15,-0.9256593005959406,Aluminium oxide/Polylactic acid
16,-0.9287656196080902,Aluminium oxide/Polylactic acid
