Shear Rate (1/s),X-ray Diffraction Intensity
4.124665342599987,3.487494181041785,Fluorine mica/E-SBR
6.442345823185988,3.323850630728739,Fluorine mica/E-SBR
7.117576029693627,3.3142736417290686,Fluorine mica/E-SBR
7.259637000498998,3.3094622135049794,Fluorine mica/E-SBR
11.91238810026096,3.216767048417891,Fluorine mica/E-SBR
13.49254593292352,3.207877767010873,Fluorine mica/E-SBR
4.124665342599987,-7.08057425708162,Aluminium dioxide/E-SBR
6.442345823185988,-7.2461069198672625,Aluminium dioxide/E-SBR
7.117576029693627,-7.261506873740296,Aluminium dioxide/E-SBR
7.259637000498998,-7.379815595216032,Aluminium dioxide/E-SBR
11.91238810026096,-7.4914011556743505,Aluminium dioxide/E-SBR
13.49254593292352,-7.503339523490946,Aluminium dioxide/E-SBR
4.124665342599987,-4.794837847056187,SWNT/E-SBR
6.442345823185988,-4.907009043631256,SWNT/E-SBR
7.117576029693627,-4.9662394900118745,SWNT/E-SBR
7.259637000498998,-4.961646977484983,SWNT/E-SBR
11.91238810026096,-5.041518296816549,SWNT/E-SBR
13.49254593292352,-5.055913367752722,SWNT/E-SBR
4.124665342599987,-2.8240118621816834,Montmorillonite/E-SBR
6.442345823185988,1.9679517928162493,Montmorillonite/E-SBR
7.117576029693627,4.238045702582159,Montmorillonite/E-SBR
7.259637000498998,3.3858289131974146,Montmorillonite/E-SBR
11.91238810026096,51.11652438185322,Montmorillonite/E-SBR
13.49254593292352,101.99301395275525,Montmorillonite/E-SBR
4.124665342599987,0.3860905081089224,silicon dioxide/E-SBR
6.442345823185988,0.4050100766535045,silicon dioxide/E-SBR
7.117576029693627,0.2693996260556065,silicon dioxide/E-SBR
7.259637000498998,0.33786025111465157,silicon dioxide/E-SBR
11.91238810026096,0.10304471865578196,silicon dioxide/E-SBR
13.49254593292352,0.04439822786787301,silicon dioxide/E-SBR
