Loading Concentration (%),Galvanic Potential (V)
0,6.3425579487563475,Lamp black/PVAL
5,5.564064562447846,Lamp black/PVAL
9,5.40494661383206,Lamp black/PVAL
13,5.354023614404512,Lamp black/PVAL
17,5.341819338199892,Lamp black/PVAL
0,-3.2205672980374036,Calcium copper titanate/PVAL
5,-4.152188901487598,Calcium copper titanate/PVAL
9,-4.323463612371339,Calcium copper titanate/PVAL
13,-4.3820979675319,Calcium copper titanate/PVAL
17,-4.395234948182003,Calcium copper titanate/PVAL
0,3.81644195113172,Lead(II) sulfide/PVAL
5,8.593474205667778,Lead(II) sulfide/PVAL
9,12.538020311546676,Lead(II) sulfide/PVAL
13,23.69299243061168,Lead(II) sulfide/PVAL
17,416.37541057660076,Lead(II) sulfide/PVAL
0,-4.467910486694771,silica gel/PVAL
5,-0.46435399928411414,silica gel/PVAL
9,5.279615153579211,silica gel/PVAL
13,72.67911479571433,silica gel/PVAL
17,13.332898904497924,silica gel/PVAL
0,4.303232495815501,CuPP/PVAL
5,4.124810837077254,CuPP/PVAL
9,7.069856335943278,CuPP/PVAL
13,6.492480642179796,CuPP/PVAL
17,4.955630965627565,CuPP/PVAL
