Rotational Speed (rpm),Porosity (%)
10,27.258582680740364,0.73% Talcum/PAA
16,125.14566687741227,0.73% Talcum/PAA
19,526.4084772527916,0.73% Talcum/PAA
10,-1.9658939218876426,0.12% Talcum/PAA
16,-2.0069347559474937,0.12% Talcum/PAA
19,-2.012066081071762,0.12% Talcum/PAA
10,11.287043610732548,0.05% Talcum/PAA
16,36.66181227578538,0.05% Talcum/PAA
19,314.88277731003393,0.05% Talcum/PAA
10,-1.6449302006235806,0.96% Talcum/PAA
16,-1.686441376539268,0.96% Talcum/PAA
19,-1.6912271228601898,0.96% Talcum/PAA
10,-11.356196133701582,0.67% Talcum/PAA
16,237.31034375414515,0.67% Talcum/PAA
19,-172.72744691501495,0.67% Talcum/PAA
