filler labels,Compression Strength (MPa)
4,1.4544214971362597,PB
5,1.4463826241635398,PB
7,1.266030395114757,PB
10,1.1849189904721944,PB
11,1.1259599657291124,PB
16,1.011482294899188,PB
4,1.335934000332524,Poly(vinylidene fluoride)
5,1.1726996363087483,Poly(vinylidene fluoride)
7,1.1749045273190426,Poly(vinylidene fluoride)
10,1.0778034197593094,Poly(vinylidene fluoride)
11,1.0353675892349083,Poly(vinylidene fluoride)
16,0.920253038274397,Poly(vinylidene fluoride)
4,7.394824837959554,PVDF
5,10.132286528574383,PVDF
7,14.310257221400644,PVDF
10,20.20551262524971,PVDF
11,45.949375653394256,PVDF
16,91.61887044286537,PVDF
4,7.435158203364664,Poly(alpha-methylstyrene)
5,10.020006281697292,Poly(alpha-methylstyrene)
7,19.83229070767156,Poly(alpha-methylstyrene)
10,3.8281813515156227,Poly(alpha-methylstyrene)
11,26.53215178044772,Poly(alpha-methylstyrene)
16,-313.1909602708813,Poly(alpha-methylstyrene)
