Gamma Radiation Dose (Gy),Ionic Conductivity (S/m)
0,1.7580089515582193,
8,0.8541900561557121,
9,0.9194266671974878,
11,0.7768874840650177,
14,0.7185337768288562,
0,1.226419320007354,
8,1.0417850367604018,
9,1.4976803670837904,
11,1.998626154423433,
14,5.414190119510074,
0,-5.845781917582293,
8,-1.2723063790481213,
9,3.3375514453552526,
11,13.566455550748739,
14,24.416939158246265,
0,5.547958592467876,
8,4.551428350434249,
9,4.518883995756072,
11,4.488042330124153,
14,4.465242871954017,
