Shear Rate (1/s),Peel Strength (N/m)
4.350480639675252,-5.28566522383384,COC
5.445498222354905,-3.526593344509425,COC
6.230112242545422,-3.7392486520647075,COC
8.732991432197982,-4.302531909755556,COC
4.475684798195516,-3.9918025393068497,Poly(butyl acrylate)
7.627373581573185,-4.142819287164697,Poly(butyl acrylate)
15.206919237016896,-4.24403625355308,Poly(butyl acrylate)
18.25074495335757,-4.2505671370819496,Poly(butyl acrylate)
7.391861602712993,-5.186259994474298,P4VP
17.380998734163807,-5.284243311755274,P4VP
17.700151778670026,-5.28507334272986,P4VP
19.784514560658618,-5.287332743502791,P4VP
1.9490391777291016,2.571280262690711,Poly(acrylonitrile)
5.865907602893989,6.6845176083242075,Poly(acrylonitrile)
19.104441368562554,680.8832731586618,Poly(acrylonitrile)
19.225101335075756,426.996551017317,Poly(acrylonitrile)
1.018889184719165,4.080895540015417,EVA
2.276802768243842,4.502338921140719,EVA
11.794453627325073,4.825461490757828,EVA
12.193655111130433,12.257549238567304,EVA
