Crosslinking Density (mol/m³),Peel Strength (N/m)
5.387460493587525,8.62720303994389,
6.39633850675893,13.490847378175204,
8.062391280357328,24.310425047983223,
11.412818046742146,69.03516608288425,
11.796835583305509,26.844968557605945,
5.387460493587525,7.495704465776286,
6.39633850675893,7.306616782416276,
8.062391280357328,7.200111628650909,
11.412818046742146,7.100275025089038,
11.796835583305509,7.083536090594184,
5.387460493587525,2.9522961164539216,
6.39633850675893,7.467507831142063,
8.062391280357328,17.048620995763557,
11.412818046742146,48.21108483244492,
11.796835583305509,34.20034176776252,
5.387460493587525,4.784386221283668,
6.39633850675893,5.971837021485942,
8.062391280357328,5.679555885092684,
11.412818046742146,6.760650715672008,
11.796835583305509,8.134522700958238,
5.387460493587525,2.6201786815982953,
6.39633850675893,2.5884611538133893,
8.062391280357328,2.5184823106814327,
11.412818046742146,2.4665719518830898,
11.796835583305509,2.459878975314015,
