Storage Time (days),Viscosity (Pa·s)
4.147405875023155,2.950038604538211,0.03% Barium strontium titanate
6.37249875096181,3.8201486624337324,0.03% Barium strontium titanate
8.195339682179617,14.675430452173183,0.03% Barium strontium titanate
12.242306262588567,3.656134149799348,0.03% Barium strontium titanate
15.553879031815221,195.27210908516136,0.03% Barium strontium titanate
4.147405875023155,7.548655222198558,0.97% Barium strontium titanate
6.37249875096181,7.470036543883197,0.97% Barium strontium titanate
8.195339682179617,11.346631845363007,0.97% Barium strontium titanate
12.242306262588567,8.039023447902313,0.97% Barium strontium titanate
15.553879031815221,9.979582410471114,0.97% Barium strontium titanate
