Calcination Temperature (°C),Complex Modulus (Pa)
6.301660253415471,2.8060002395353263,Na2TiO3/Nylon 66
7.421640716937887,2.9430293229231355,Na2TiO3/Nylon 66
9.097017233626834,2.810593740677595,Na2TiO3/Nylon 66
11.092453134418053,2.7384333604545863,Na2TiO3/Nylon 66
18.802174605320353,2.5282264886209527,Na2TiO3/Nylon 66
6.301660253415471,5.087767317273561,"Iron(II,III) oxide/Nylon 66"
7.421640716937887,5.0286547116670555,"Iron(II,III) oxide/Nylon 66"
9.097017233626834,4.9622979560198175,"Iron(II,III) oxide/Nylon 66"
11.092453134418053,4.900329116321883,"Iron(II,III) oxide/Nylon 66"
18.802174605320353,4.690804552542123,"Iron(II,III) oxide/Nylon 66"
6.301660253415471,5.691658294920493,BaTiO3/Nylon 66
7.421640716937887,5.672512940366164,BaTiO3/Nylon 66
9.097017233626834,5.6080245501119546,BaTiO3/Nylon 66
11.092453134418053,5.585447406393045,BaTiO3/Nylon 66
18.802174605320353,5.55466128819284,BaTiO3/Nylon 66
6.301660253415471,3.265631280533068,SWNT/Nylon 66
7.421640716937887,5.359335455540693,SWNT/Nylon 66
9.097017233626834,4.311574399339049,SWNT/Nylon 66
11.092453134418053,0.26476683811204094,SWNT/Nylon 66
18.802174605320353,16.926444089428543,SWNT/Nylon 66
