Loading Concentration (%),Bond Strength (MPa)
0.8850144640737034,2.217401667928705,P2VP
10.457211300594082,39.77590369556011,P2VP
18.221937657935904,36.242997389498534,P2VP
19.621056728384602,-134.14433702060077,P2VP
0.8850144640737034,0.5382115564683538,P(VDF-TrFE)
10.457211300594082,12.054548754037882,P(VDF-TrFE)
18.221937657935904,-255.6473185755234,P(VDF-TrFE)
19.621056728384602,-173.65179744929182,P(VDF-TrFE)
0.8850144640737034,4.948097699929891,PA 8
10.457211300594082,4.255551877911894,PA 8
18.221937657935904,4.217783972273108,PA 8
19.621056728384602,4.216283711528358,PA 8
0.8850144640737034,6.069479320687322,E-SBR
10.457211300594082,5.5986430420187405,E-SBR
18.221937657935904,5.417301465348788,E-SBR
19.621056728384602,5.392141896549951,E-SBR
0.8850144640737034,0.5745327117915635,Poly-trifluoroethylene
10.457211300594082,-0.39013153284290825,Poly-trifluoroethylene
18.221937657935904,-0.5625416905043913,Poly-trifluoroethylene
19.621056728384602,-0.5733670953692387,Poly-trifluoroethylene
