Pressure (Pa),Bet Surface Area
4.115813418311067,-5.280988512428133,0.65% alumina
17.714921272213672,-5.83720366069937,0.65% alumina
19.118676315474314,-5.872631812892853,0.65% alumina
19.120366192877345,-5.862944090540549,0.65% alumina
4.115813418311067,-2.4427781686011545,0.63% alumina
17.714921272213672,-2.7695080484733796,0.63% alumina
19.118676315474314,-2.7712524928892823,0.63% alumina
19.120366192877345,-2.7711806410283737,0.63% alumina
4.115813418311067,-4.062498135810667,0.14% alumina
17.714921272213672,-10.820347932947284,0.14% alumina
19.118676315474314,4.652670376473553,0.14% alumina
19.120366192877345,-12.697058202739425,0.14% alumina
