Reaction Time (h),Saturation Magnetization (A/m)
2.6176385055357754,-3.7225063537009673,PVAC
4.430220374651846,-3.5476181394840482,PVAC
14.450651632263478,4.220505622098514,PVAC
14.682937233093716,0.406956664241398,PVAC
1.685831116687042,-1.4231316874299023,Poly(vinyl acetate)
9.770467711677354,-0.15350582158085624,Poly(vinyl acetate)
12.07354614006816,0.022078699228421872,Poly(vinyl acetate)
16.147036930404035,1.330902646676447,Poly(vinyl acetate)
11.747157449886716,5.090228425096185,SBR
14.886001030651935,5.019063743800944,SBR
15.443332938585668,5.011377206219353,SBR
16.3044199969292,5.000715399812303,SBR
