pH,Magnetic Anisotropy (J/m³)
0,-2.7803396198479415,
5,-3.547447310945887,
8,-2.1711653292577733,
10,-0.5336388132660281,
17,-13.281689753091998,
0,-4.970850093471325,
5,-5.452987404157697,
8,-5.642084312756937,
10,-5.685942743984356,
17,-5.9110291526518,
0,-5.651142739043917,
5,-1.823895180294281,
8,2.2893410966368997,
10,7.849047359658904,
17,-161.0651087797427,
0,4.97514019291795,
5,4.216865199525396,
8,4.037997884848731,
10,4.007295232916072,
17,3.965251602514302,
0,-1.9920104527172047,
5,-2.0206088250889827,
8,-2.250098750198279,
10,-2.314521978031972,
17,-2.474790037531896,
