EV (V),Complex Modulus (Pa)
1,3.83752713930413,aluminum/PEG
13,3.0639253142154375,aluminum/PEG
17,2.9409884726441753,aluminum/PEG
18,2.920164200270712,aluminum/PEG
1,-0.09982962927197314,titanium dioxide/PEG
13,-1.798758622174402,titanium dioxide/PEG
17,212.05788630301166,titanium dioxide/PEG
18,494.9536705381557,titanium dioxide/PEG
1,2.7073976788494782,Calcium carbonate/PEG
13,1.9574577130710986,Calcium carbonate/PEG
17,1.8675984548467932,Calcium carbonate/PEG
18,1.8541029294245839,Calcium carbonate/PEG
1,-0.8519090506232389,MWNT/PEG
13,-1.7199318866469402,MWNT/PEG
17,-1.7348398381186871,MWNT/PEG
18,-1.7364400051642308,MWNT/PEG
1,7.920788213696029,Sodium titanate nanotubes/PEG
13,7.128634109511092,Sodium titanate nanotubes/PEG
17,7.073129953946124,Sodium titanate nanotubes/PEG
18,7.060252834279952,Sodium titanate nanotubes/PEG
