Heat Treatment Temperature (°C),Degradation Temperature (°C)
1.7816057337656432,-5.4403755219556515,0.63% Copper phenylphosphate
3.7714969106953045,-5.757330954614791,0.63% Copper phenylphosphate
9.712852971921869,-5.888110223696119,0.63% Copper phenylphosphate
13.100657508202072,-6.1028457822060105,0.63% Copper phenylphosphate
1.7816057337656432,-6.536449370875776,0.54% Copper phenylphosphate
3.7714969106953045,-6.415206384472694,0.54% Copper phenylphosphate
9.712852971921869,-6.956803752241627,0.54% Copper phenylphosphate
13.100657508202072,-7.0848647626482935,0.54% Copper phenylphosphate
1.7816057337656432,5.238274836396884,0.78% Copper phenylphosphate
3.7714969106953045,4.503511037024332,0.78% Copper phenylphosphate
9.712852971921869,18.398413335789417,0.78% Copper phenylphosphate
13.100657508202072,130.9106636765611,0.78% Copper phenylphosphate
