Mixing Time (min),Shear Strength (MPa)
2.918338772892719,-6.5030226206905475,0.75% Carbon Black/PVA
9.102372006307762,-6.76364860611888,0.75% Carbon Black/PVA
11.2646899006694,-6.850306782016545,0.75% Carbon Black/PVA
15.756561315230202,-6.968345677329839,0.75% Carbon Black/PVA
2.918338772892719,2.5057727325637615,0.9% Carbon Black/PVA
9.102372006307762,2.0369297854712256,0.9% Carbon Black/PVA
11.2646899006694,1.9483106496775258,0.9% Carbon Black/PVA
15.756561315230202,1.8477035390340333,0.9% Carbon Black/PVA
2.918338772892719,-1.7733953250694636,0.16% Carbon Black/PVA
9.102372006307762,2.136424685519488,0.16% Carbon Black/PVA
11.2646899006694,29.445258920438853,0.16% Carbon Black/PVA
15.756561315230202,-27.350279908398512,0.16% Carbon Black/PVA
