Pore Size (nm),Coefficient Of Thermal Expansion (1/K)
0.1505032710030041,0.16859517629104115,0.69% Mineral oil/bisphenol-A phthalonitrile resin
2.214751190246216,-0.46554607942813186,0.69% Mineral oil/bisphenol-A phthalonitrile resin
2.251070542518847,-0.5437107009067718,0.69% Mineral oil/bisphenol-A phthalonitrile resin
5.900842198222847,-0.8633654394868242,0.69% Mineral oil/bisphenol-A phthalonitrile resin
9.216650915197418,-0.9838979106619606,0.69% Mineral oil/bisphenol-A phthalonitrile resin
0.1505032710030041,-6.577804440850622,0.63% Mineral oil/bisphenol-A phthalonitrile resin
2.214751190246216,-6.88144608582026,0.63% Mineral oil/bisphenol-A phthalonitrile resin
2.251070542518847,-7.064538529996085,0.63% Mineral oil/bisphenol-A phthalonitrile resin
5.900842198222847,-7.254120580325918,0.63% Mineral oil/bisphenol-A phthalonitrile resin
9.216650915197418,-7.361537432861823,0.63% Mineral oil/bisphenol-A phthalonitrile resin
0.1505032710030041,2.4381315316285024,0.98% Mineral oil/bisphenol-A phthalonitrile resin
2.214751190246216,2.4170363282023004,0.98% Mineral oil/bisphenol-A phthalonitrile resin
2.251070542518847,2.0799678050825765,0.98% Mineral oil/bisphenol-A phthalonitrile resin
5.900842198222847,2.8946018071136144,0.98% Mineral oil/bisphenol-A phthalonitrile resin
9.216650915197418,4.425811974094118,0.98% Mineral oil/bisphenol-A phthalonitrile resin
0.1505032710030041,-3.8222093276405946,0.65% Mineral oil/bisphenol-A phthalonitrile resin
2.214751190246216,-3.9251211415440532,0.65% Mineral oil/bisphenol-A phthalonitrile resin
2.251070542518847,-3.6484256157983963,0.65% Mineral oil/bisphenol-A phthalonitrile resin
5.900842198222847,-4.235878136021143,0.65% Mineral oil/bisphenol-A phthalonitrile resin
9.216650915197418,-4.384598483358643,0.65% Mineral oil/bisphenol-A phthalonitrile resin
0.1505032710030041,4.95428527316699,0.04% Mineral oil/bisphenol-A phthalonitrile resin
2.214751190246216,4.737657274833662,0.04% Mineral oil/bisphenol-A phthalonitrile resin
2.251070542518847,4.604349596193697,0.04% Mineral oil/bisphenol-A phthalonitrile resin
5.900842198222847,4.579998614579573,0.04% Mineral oil/bisphenol-A phthalonitrile resin
9.216650915197418,4.3556561893395696,0.04% Mineral oil/bisphenol-A phthalonitrile resin
