Curing Temperature (°C),Surface Area (m²/g)
6.609796534388527,2.8132015641955954,0.15% CaCu3Ti4O12/PA 6(3)T
7.269868507648802,2.7752675019596222,0.15% CaCu3Ti4O12/PA 6(3)T
8.121763772121975,2.7662854695607337,0.15% CaCu3Ti4O12/PA 6(3)T
12.99678766605849,2.6937756866517155,0.15% CaCu3Ti4O12/PA 6(3)T
17.929650064278295,2.677314260985807,0.15% CaCu3Ti4O12/PA 6(3)T
6.609796534388527,-2.5312746885064525,0.97% CaCu3Ti4O12/PA 6(3)T
7.269868507648802,-1.3614339107658893,0.97% CaCu3Ti4O12/PA 6(3)T
8.121763772121975,-0.05555312707267035,0.97% CaCu3Ti4O12/PA 6(3)T
12.99678766605849,-2.9005073747192207,0.97% CaCu3Ti4O12/PA 6(3)T
17.929650064278295,-8.638632614949545,0.97% CaCu3Ti4O12/PA 6(3)T
6.609796534388527,-5.374051390341365,0.8% CaCu3Ti4O12/PA 6(3)T
7.269868507648802,-5.401191060021654,0.8% CaCu3Ti4O12/PA 6(3)T
8.121763772121975,-5.41231071141758,0.8% CaCu3Ti4O12/PA 6(3)T
12.99678766605849,-5.487783340624993,0.8% CaCu3Ti4O12/PA 6(3)T
17.929650064278295,-5.503452991157612,0.8% CaCu3Ti4O12/PA 6(3)T
6.609796534388527,3.5098741664959525,0.89% CaCu3Ti4O12/PA 6(3)T
7.269868507648802,3.4725502177975507,0.89% CaCu3Ti4O12/PA 6(3)T
8.121763772121975,3.4643338115508513,0.89% CaCu3Ti4O12/PA 6(3)T
12.99678766605849,3.3898249837366508,0.89% CaCu3Ti4O12/PA 6(3)T
17.929650064278295,3.3770699913528137,0.89% CaCu3Ti4O12/PA 6(3)T
6.609796534388527,5.191187218089333,0.31% CaCu3Ti4O12/PA 6(3)T
7.269868507648802,5.191460271468412,0.31% CaCu3Ti4O12/PA 6(3)T
8.121763772121975,5.165005469544317,0.31% CaCu3Ti4O12/PA 6(3)T
12.99678766605849,5.099039828819579,0.31% CaCu3Ti4O12/PA 6(3)T
17.929650064278295,5.083716609483541,0.31% CaCu3Ti4O12/PA 6(3)T
