Calcination Temperature (°C),Bet Surface Area
11,8.00544907253931,0.2% cellulose nanocrystal/DGEBD
12,7.982075287232163,0.2% cellulose nanocrystal/DGEBD
17,7.849279739451138,0.2% cellulose nanocrystal/DGEBD
11,6.523055854184269,0.31% cellulose nanocrystal/DGEBD
12,6.51462552234901,0.31% cellulose nanocrystal/DGEBD
17,6.4940196085827155,0.31% cellulose nanocrystal/DGEBD
11,27.545179681097196,0.18% cellulose nanocrystal/DGEBD
12,41.050401514440935,0.18% cellulose nanocrystal/DGEBD
17,136.53941843652785,0.18% cellulose nanocrystal/DGEBD
11,7.5945664790841345,0.68% cellulose nanocrystal/DGEBD
12,7.5705010889408175,0.68% cellulose nanocrystal/DGEBD
17,7.446042370927635,0.68% cellulose nanocrystal/DGEBD
11,0.5862853859784187,0.15% cellulose nanocrystal/DGEBD
12,0.5198259210854275,0.15% cellulose nanocrystal/DGEBD
17,0.3904243187081042,0.15% cellulose nanocrystal/DGEBD
