Calcination Temperature (°C),Oxidation Potential (V)
4.097860613056059,7.5357778510114874,0.38% Clay
5.6017508785892245,7.480787706736001,0.38% Clay
8.085444701215918,7.421474026288436,0.38% Clay
13.158348175388255,7.178130697049836,0.38% Clay
13.86890901051652,7.145199564701582,0.38% Clay
19.95525179594355,7.059295469579785,0.38% Clay
4.097860613056059,3.7080177430621077,0.55% Clay
5.6017508785892245,5.416768292849973,0.55% Clay
8.085444701215918,14.689429073996758,0.55% Clay
13.158348175388255,15.709452731572693,0.55% Clay
13.86890901051652,89.38107289342416,0.55% Clay
19.95525179594355,-944.8025868413207,0.55% Clay
