Incubation Time (h),Tensile Strength (MPa)
0.5512165060252672,7.791747614318783,PAA
2.9935106029705993,7.17131019025203,PAA
7.251943169644994,6.912416275556508,PAA
7.432565831394746,6.871261326618856,PAA
15.978484183048401,6.789384230178191,PAA
0.5512165060252672,-4.93410921525114,E-SBR
2.9935106029705993,-5.261000095635654,E-SBR
7.251943169644994,-5.493185024313165,E-SBR
7.432565831394746,-5.5147630342193805,E-SBR
15.978484183048401,-5.6182957642529106,E-SBR
0.5512165060252672,-1.8464293773331582,Nylon 6-6
2.9935106029705993,-2.2477606400786216,Nylon 6-6
7.251943169644994,-2.5834815122735217,Nylon 6-6
7.432565831394746,-2.5911103517198413,Nylon 6-6
15.978484183048401,-2.687191507310308,Nylon 6-6
0.5512165060252672,7.415853898893014,Poly(styrene-co-acrylonitrile)
2.9935106029705993,7.0066526853418685,Poly(styrene-co-acrylonitrile)
7.251943169644994,6.891711649558273,Poly(styrene-co-acrylonitrile)
7.432565831394746,6.961199117297715,Poly(styrene-co-acrylonitrile)
15.978484183048401,6.681940229024051,Poly(styrene-co-acrylonitrile)
