Pressure (Pa),Electrical Conductivity (S/m)
1,-2.957065788140744,graphene nanoplatelets/TGPAP
10,10.292985675403852,graphene nanoplatelets/TGPAP
18,726.7500115047123,graphene nanoplatelets/TGPAP
1,0.6054421932383409,montmorillonite/TGPAP
10,18.517373456309315,montmorillonite/TGPAP
18,893.5545032548092,montmorillonite/TGPAP
1,-6.280337684633176,CaCO3/TGPAP
10,-7.099795232172513,CaCO3/TGPAP
18,-7.278185361070192,CaCO3/TGPAP
1,-5.828587450268787,graphite nanoplatelets/TGPAP
10,-6.144613548582102,graphite nanoplatelets/TGPAP
18,-6.3330793474045075,graphite nanoplatelets/TGPAP
1,1.3161769584425989,"Iron(II,III) oxide/TGPAP"
10,0.5052295712711462,"Iron(II,III) oxide/TGPAP"
18,0.4599278561580927,"Iron(II,III) oxide/TGPAP"
