Nanoparticle Mass (%),Shear Strength (MPa)
10.442085608375953,1.9701672426401924,TPU
14.334272209131832,4.806158088924034,TPU
15.970573743786039,4.809749237916067,TPU
19.715532248468392,5.188972876416882,TPU
10.442085608375953,30.82457510792112,Poly(vinyl butyral)
14.334272209131832,107.58725408287543,Poly(vinyl butyral)
15.970573743786039,143.03055597443233,Poly(vinyl butyral)
19.715532248468392,429.4396275368031,Poly(vinyl butyral)
10.442085608375953,46.731658687373354,PCTFE
14.334272209131832,-59.32456607835769,PCTFE
15.970573743786039,37.41241271975382,PCTFE
19.715532248468392,678.2508261948128,PCTFE
10.442085608375953,0.004949174797899615,Polyetherketoneketone
14.334272209131832,-0.023775706552883368,Polyetherketoneketone
15.970573743786039,-0.029076929063610153,Polyetherketoneketone
19.715532248468392,-0.03460362106948994,Polyetherketoneketone
10.442085608375953,6.770147700022671,PVP
14.334272209131832,6.741107468546236,PVP
15.970573743786039,6.734411379746775,PVP
19.715532248468392,6.729238079851635,PVP
