Filler Content (%),Corrosion Rate (mm/year)
7,-3.9570014704667735,
10,-4.041586053571762,
12,-4.065592596421123,
14,-4.074093798863521,
18,-4.084753030495196,
7,0.6202272470689598,
10,0.5597908519121898,
12,0.533781950553759,
14,0.5226644182678758,
18,0.5127488743540639,
7,6.545285474617981,
10,6.360277038013287,
12,6.351508399647037,
14,6.290582414942628,
18,6.203545277657568,
7,6.842233590788014,
10,20.822219757197757,
12,-21.811157789794525,
14,-15.80236653992623,
18,149.08283986605758,
7,8.760407808770813,
10,9.39758458516996,
12,10.097195325107739,
14,13.805471304266533,
18,12.184548494145714,
