Dielectric Loss,Coercivity (A/m)
3.9781304366693893,9.70933585464147,S-SBR
4.968027905536747,9.121750988198466,S-SBR
5.455271668905763,8.70607847152009,S-SBR
7.680117943177434,10.640352271190514,S-SBR
3.9781304366693893,-5.869786872481505,P(BA-a)
4.968027905536747,-5.953475196259914,P(BA-a)
5.455271668905763,-5.873139573363243,P(BA-a)
7.680117943177434,-6.992067976266508,P(BA-a)
3.9781304366693893,6.738521163800101,Nylon 6(3)T
4.968027905536747,8.3644815431783,Nylon 6(3)T
5.455271668905763,9.219558239701017,Nylon 6(3)T
7.680117943177434,21.23266718638842,Nylon 6(3)T
3.9781304366693893,-1.9159792027648672,sPP
4.968027905536747,-1.8057034339408164,sPP
5.455271668905763,-1.9019432813546362,sPP
7.680117943177434,-2.0887884073680154,sPP
