Drying Time (h),Zeta Potential (mV)
3.894705901467803,0.13466443492847535,0.65% zirconium dioxide/TGPAP
4.104796781550897,-1.264320605998485,0.65% zirconium dioxide/TGPAP
10.238358688966208,0.660354024839771,0.65% zirconium dioxide/TGPAP
12.285644527537569,-1.8058633674277362,0.65% zirconium dioxide/TGPAP
15.863127169535618,2.5012248012796494,0.65% zirconium dioxide/TGPAP
18.03032062522014,-0.8578376943906845,0.65% zirconium dioxide/TGPAP
19.321110701047022,6.752829689450937,0.65% zirconium dioxide/TGPAP
4.289763307054639,-4.9237981382695555,0.21% zirconium dioxide/TGPAP
4.707432966338021,-4.7807488483441976,0.21% zirconium dioxide/TGPAP
9.357452721755024,-4.747200305348796,0.21% zirconium dioxide/TGPAP
9.516787834838931,-3.6007461309185897,0.21% zirconium dioxide/TGPAP
9.965234517090817,-0.42723535934071677,0.21% zirconium dioxide/TGPAP
11.579789476338618,-1.4036476156544024,0.21% zirconium dioxide/TGPAP
19.53777849824406,-16.202813982149607,0.21% zirconium dioxide/TGPAP
1,-4.996142246229134,0.33% zirconium dioxide/TGPAP
4,-5.301756993036701,0.33% zirconium dioxide/TGPAP
7,-5.516448085510625,0.33% zirconium dioxide/TGPAP
11,-5.677604909392645,0.33% zirconium dioxide/TGPAP
12,-5.6727734716118405,0.33% zirconium dioxide/TGPAP
13,-5.74740491547118,0.33% zirconium dioxide/TGPAP
18,-5.827689105072763,0.33% zirconium dioxide/TGPAP
3.3794058791000503,0.8337085491733455,0.64% zirconium dioxide/TGPAP
4.90817012579077,0.6184888012450493,0.64% zirconium dioxide/TGPAP
6.162468310417168,0.5247000732281446,0.64% zirconium dioxide/TGPAP
10.817204118000909,0.3311128525891928,0.64% zirconium dioxide/TGPAP
11.635684464843319,0.3453559398182582,0.64% zirconium dioxide/TGPAP
15.436509810168744,0.2268952092064402,0.64% zirconium dioxide/TGPAP
17.084721044932916,0.2089061935799488,0.64% zirconium dioxide/TGPAP
0,6.36627361994784,0.0% zirconium dioxide/TGPAP
3,6.3897171286544205,0.0% zirconium dioxide/TGPAP
5,6.054016279757517,0.0% zirconium dioxide/TGPAP
9,5.842313454246025,0.0% zirconium dioxide/TGPAP
10,5.750649741732926,0.0% zirconium dioxide/TGPAP
17,5.579620412604481,0.0% zirconium dioxide/TGPAP
19,5.557658022245482,0.0% zirconium dioxide/TGPAP
