Calcination Time (h),Impact Strength (kJ/m²)
0.05189127429239271,-6.248591923419259,0.06% Silica/PVA
2.8401799840670217,-6.135194382376406,0.06% Silica/PVA
3.264772160102263,-5.617890604317241,0.06% Silica/PVA
5.5908024250988,-5.683180027477176,0.06% Silica/PVA
9.589551645966418,-6.723111714545777,0.06% Silica/PVA
14.439507117900316,-0.06891368559865363,0.06% Silica/PVA
0.042169274016923275,2.349280655419492,0.34% Silica/PVA
6.621736032791055,1.5788179251198657,0.34% Silica/PVA
6.752660637001576,1.5839796584890016,0.34% Silica/PVA
9.589177707231336,1.4972723286082892,0.34% Silica/PVA
11.251339817158053,1.467848842695696,0.34% Silica/PVA
14.400031491638979,1.4469074970137175,0.34% Silica/PVA
