Reaction Time (h),Shear Viscosity (Pa·s)
9.430459611227748,-6.756469335188203,0.49% SiC powder
11.18248506099418,-6.780196672160741,0.49% SiC powder
16.102295791033946,-6.807728744204589,0.49% SiC powder
9.430459611227748,4.401983615526106,0.92% SiC powder
11.18248506099418,4.380831137314612,0.92% SiC powder
16.102295791033946,4.354227991840559,0.92% SiC powder
9.430459611227748,-4.526529542370051,0.25% SiC powder
11.18248506099418,-1.8858859026762524,0.25% SiC powder
16.102295791033946,4.325482802935756,0.25% SiC powder
9.430459611227748,-4.310385196153522,0.26% SiC powder
11.18248506099418,-4.333000547243949,0.26% SiC powder
16.102295791033946,-4.357684120141673,0.26% SiC powder
