Heat Capacity (J/K),Impact Strength (kJ/m²)
3.4679035968052174,4.805951403966972,0.37% nanosilica
13.509044048294818,11.806737465050542,0.37% nanosilica
17.562153095996795,1.70033828451085,0.37% nanosilica
19.011703458556145,-2.2622474221572135,0.37% nanosilica
3.4679035968052174,-3.101497915532537,0.83% nanosilica
13.509044048294818,-3.4516965274691604,0.83% nanosilica
17.562153095996795,-3.4638567080919263,0.83% nanosilica
19.011703458556145,-3.4655311581169324,0.83% nanosilica
3.4679035968052174,-0.8024752958893162,0.51% nanosilica
13.509044048294818,113.22473486559592,0.51% nanosilica
17.562153095996795,226.79177157148928,0.51% nanosilica
19.011703458556145,-280.3692806637594,0.51% nanosilica
3.4679035968052174,4.089832457540322,0.44% nanosilica
13.509044048294818,4.794852879751765,0.44% nanosilica
17.562153095996795,6.038144438844751,0.44% nanosilica
19.011703458556145,-1.2239603370452476,0.44% nanosilica
3.4679035968052174,6.654617939372604,0.07% nanosilica
13.509044048294818,6.306489789559655,0.07% nanosilica
17.562153095996795,6.295748061104431,0.07% nanosilica
19.011703458556145,6.294069980429244,0.07% nanosilica
