Thickness (µm),Peel Strength (N/m)
3.50370453270451,-4.547395707753785,PCTFE
7.28737435733427,2.146447571545419,PCTFE
9.762964852738493,-4.851955789101545,PCTFE
3.50370453270451,0.07352824990932039,Poly(vinyl acetate)
7.28737435733427,0.02285517075324539,Poly(vinyl acetate)
9.762964852738493,1.3992363326084574,Poly(vinyl acetate)
3.50370453270451,0.6475112698969621,PBD
7.28737435733427,-0.01808819851359278,PBD
9.762964852738493,27.006451029940024,PBD
3.50370453270451,5.648666781079151,Poly(ethylene-vinyl acetate)
7.28737435733427,15.34121347652795,Poly(ethylene-vinyl acetate)
9.762964852738493,20.29131001733596,Poly(ethylene-vinyl acetate)
3.50370453270451,-3.6800784901952257,PBT
7.28737435733427,-2.321449045004569,PBT
9.762964852738493,-3.8098681518833537,PBT
