Stress (Pa),Oxidation Potential (V)
4,6.148134659990235,
6,8.902057908494186,
7,11.305125145983034,
11,12.441989043507501,
18,271.4638039669757,
2.996821771762004,-5.976907297912939,
4.495156161236602,-6.1300365046104295,
5.23454333187056,-6.222094063280667,
5.488152393263381,-6.244795455429905,
7.577250082864304,-6.313901902972789,
2,-3.1686367552532495,
3,-3.278715342004203,
7,-3.6578395776472763,
8,-3.66193158536362,
17,-3.9017063889920602,
1,2.442313367030224,
11,1.8508570363670482,
13,1.8295832349534238,
14,1.8270401714424305,
18,1.8168495501226478,
1.150354296763767,2.3305888446328975,
11.234886963145328,5.9150730508112375,
14.223679662753199,38.306116787974744,
16.854660091414225,71.93844215680204,
18.59331004567764,713.4172101754797,
