Glass Transition Temperature (°C),Shear Modulus (GPa)
0.9365361944822559,-6.401541351788768,0.33% C60/Polystyrene
7.703649521821561,-7.097798732717075,0.33% C60/Polystyrene
11.904152206269975,-7.308019316461288,0.33% C60/Polystyrene
19.523960816695563,-7.446299688175896,0.33% C60/Polystyrene
0.9365361944822559,6.887129143866292,0.31% C60/Polystyrene
7.703649521821561,6.188660431138002,0.31% C60/Polystyrene
11.904152206269975,6.12184542390015,0.31% C60/Polystyrene
19.523960816695563,6.0952391796185434,0.31% C60/Polystyrene
0.9365361944822559,-4.7988064679775855,0.7% C60/Polystyrene
7.703649521821561,-5.294100896481869,0.7% C60/Polystyrene
11.904152206269975,-5.355970269654408,0.7% C60/Polystyrene
19.523960816695563,-5.383006088279954,0.7% C60/Polystyrene
0.9365361944822559,0.34187096695526953,0.21% C60/Polystyrene
7.703649521821561,-0.14889751138466636,0.21% C60/Polystyrene
11.904152206269975,-0.21637954806840912,0.21% C60/Polystyrene
19.523960816695563,-0.23999043347283575,0.21% C60/Polystyrene
