Temperature (°C),Reduction Potential (V)
0.446897024867694,-3.652601369695473,Morrocan montmorillonite/Poly(benzoxazine)
0.8119245663420416,-3.6695149533979006,Morrocan montmorillonite/Poly(benzoxazine)
8.431159239698555,-4.01287205076682,Morrocan montmorillonite/Poly(benzoxazine)
14.578837761348337,-4.218163975180891,Morrocan montmorillonite/Poly(benzoxazine)
16.457655186327106,-4.244777841178332,Morrocan montmorillonite/Poly(benzoxazine)
19.99972729403112,-4.313396439384343,Morrocan montmorillonite/Poly(benzoxazine)
1,0.038185390118353646,graphene nanoribbon/Poly(benzoxazine)
6,-0.35126364596793597,graphene nanoribbon/Poly(benzoxazine)
7,-0.3738934156607229,graphene nanoribbon/Poly(benzoxazine)
10,-0.4678446386579872,graphene nanoribbon/Poly(benzoxazine)
15,-0.6149873933100461,graphene nanoribbon/Poly(benzoxazine)
19,-0.6854968652655287,graphene nanoribbon/Poly(benzoxazine)
4,0.03595313365056363,Al2O3/Poly(benzoxazine)
6,0.8823160414645592,Al2O3/Poly(benzoxazine)
8,7.884256960352463,Al2O3/Poly(benzoxazine)
11,12.086593477674143,Al2O3/Poly(benzoxazine)
12,27.046780088481267,Al2O3/Poly(benzoxazine)
18,43.60442621495291,Al2O3/Poly(benzoxazine)
0,0.47720149996596795,Paraffin oil/Poly(benzoxazine)
1,0.05578374982599987,Paraffin oil/Poly(benzoxazine)
7,-0.48907825140297656,Paraffin oil/Poly(benzoxazine)
9,-0.5386584103125636,Paraffin oil/Poly(benzoxazine)
10,-0.5397914083092069,Paraffin oil/Poly(benzoxazine)
12,-0.5605487252718752,Paraffin oil/Poly(benzoxazine)
