Pore Volume (cm³/g),Decomposition Temperature (°C)
7,-1.7364946922945617,Graphite oxide/BECy
9,3.950592118161733,Graphite oxide/BECy
10,30.799122504147178,Graphite oxide/BECy
16,22.52683500559624,Graphite oxide/BECy
17,306.0298585643575,Graphite oxide/BECy
7,-4.618535361447099,Paraffinum liquidum/BECy
9,-4.662911700448509,Paraffinum liquidum/BECy
10,-4.679695083979984,Paraffinum liquidum/BECy
16,-4.724131206573643,Paraffinum liquidum/BECy
17,-4.725794625077385,Paraffinum liquidum/BECy
