Mechanical Strength (MPa),Thermal Resistance (K/W)
0.823044186034747,2.6711579617442984,0.76% Au
7.05517615608853,9.08926752530316,0.76% Au
15.173556619399085,51.886223718396664,0.76% Au
16.993505116681746,52.2746512350904,0.76% Au
19.062679176936967,1167.617646478471,0.76% Au
19.096618691920593,490.85730406370556,0.76% Au
0.823044186034747,-6.230921388355664,0.94% Au
7.05517615608853,-6.96078080853765,0.94% Au
15.173556619399085,-7.070719066798075,0.94% Au
16.993505116681746,-7.0750820685009925,0.94% Au
19.062679176936967,-7.0776275659639305,0.94% Au
19.096618691920593,-7.077875555348707,0.94% Au
0.823044186034747,7.881654268499969,0.78% Au
7.05517615608853,7.369562661992822,0.78% Au
15.173556619399085,7.089498382843454,0.78% Au
16.993505116681746,7.062401191254151,0.78% Au
19.062679176936967,7.024131515924724,0.78% Au
19.096618691920593,7.022483200207474,0.78% Au
0.823044186034747,-0.8557744728945678,0.26% Au
7.05517615608853,-1.7558401179708167,0.26% Au
15.173556619399085,-1.8677033930665263,0.26% Au
16.993505116681746,-1.8719855369146976,0.26% Au
19.062679176936967,-1.874885303606985,0.26% Au
19.096618691920593,-1.8747687707389888,0.26% Au
0.823044186034747,3.660286685751581,0.12% Au
7.05517615608853,5.438046782880253,0.12% Au
15.173556619399085,12.230854032390297,0.12% Au
16.993505116681746,6.949126137195982,0.12% Au
19.062679176936967,4.861551577033073,0.12% Au
19.096618691920593,-5.817473801249953,0.12% Au
