Melting Temperature (°C),Particle Size (nm)
1,2.0163800570291874,0.28% MWCNTs
12,0.3336859970790407,0.28% MWCNTs
14,4.277189437565752,0.28% MWCNTs
1,7.178806675631454,0.66% MWCNTs
12,6.499684161010001,0.66% MWCNTs
14,6.436615340320186,0.66% MWCNTs
1,8.129478226732164,0.83% MWCNTs
12,7.3469840440259695,0.83% MWCNTs
14,7.333431342848383,0.83% MWCNTs
1,-2.0780381261241603,0.77% MWCNTs
12,48.053878802389264,0.77% MWCNTs
14,80.69302704891264,0.77% MWCNTs
1,-0.5399101006742262,0.7% MWCNTs
12,59.74061659474741,0.7% MWCNTs
14,77.43356718401074,0.7% MWCNTs
