vol%,Passivation Current Density (A/m²)
4,4.448520788127163,Nylon 6-6
5,6.319314671228881,Nylon 6-6
9,0.5030842701437432,Nylon 6-6
10,28.69660711355063,Nylon 6-6
13,91.61636744670446,Nylon 6-6
4,-1.232699742653056,Poly(ethylene)
5,-1.2842623065766436,Poly(ethylene)
9,-1.4509349293124356,Poly(ethylene)
10,-1.5078826985886817,Poly(ethylene)
13,-1.5694906050085171,Poly(ethylene)
4,0.8786480437303466,TGDDM
5,0.32696957900108115,TGDDM
9,0.15929397277101387,TGDDM
10,-0.6782503205886461,TGDDM
13,-1.7549935809348742,TGDDM
4,-2.2526460159815684,PMA
5,-2.2955472911628254,PMA
9,-2.496779071836094,PMA
10,-2.5181442719003857,PMA
13,-2.541377960266355,PMA
