Stirring Speed (rpm),Hardness (HV)
6.971130243748515,6.530542018119142,0.23% rGO
9.014496781115163,3.417558383366868,0.23% rGO
9.036813654737895,5.092960224522498,0.23% rGO
13.37726587634979,9.09609478157355,0.23% rGO
15.151717751811473,4.979805638108584,0.23% rGO
6.971130243748515,1.8522175511656076,0.61% rGO
9.014496781115163,1.7893004940627621,0.61% rGO
9.036813654737895,1.8036905233481497,0.61% rGO
13.37726587634979,1.7513815782467017,0.61% rGO
15.151717751811473,1.742976136206539,0.61% rGO
6.971130243748515,6.561631548827843,0.73% rGO
9.014496781115163,6.491700595237743,0.73% rGO
9.036813654737895,6.476647156189044,0.73% rGO
13.37726587634979,6.346004279595566,0.73% rGO
15.151717751811473,6.304270115373945,0.73% rGO
6.971130243748515,6.165931597285486,0.48% rGO
9.014496781115163,8.065458346049851,0.48% rGO
9.036813654737895,3.837407467387333,0.48% rGO
13.37726587634979,9.564496964164197,0.48% rGO
15.151717751811473,10.451012041738688,0.48% rGO
6.971130243748515,0.34265229861322544,0.07% rGO
9.014496781115163,0.29741457821966616,0.07% rGO
9.036813654737895,0.2822118914191953,0.07% rGO
13.37726587634979,0.1494624067460895,0.07% rGO
15.151717751811473,0.12774940679503685,0.07% rGO
