Reaction Temperature (°C),Thermal Stability (°C)
7.540436765501683,-6.3750012762306,silica nanoparticles/Unsaturated polyester resin
9.061932781761069,-6.34318726936875,silica nanoparticles/Unsaturated polyester resin
15.284410441621967,-6.5632810936123915,silica nanoparticles/Unsaturated polyester resin
18.14501962691964,-6.6122606091431315,silica nanoparticles/Unsaturated polyester resin
19.720785585029056,-6.646033528256423,silica nanoparticles/Unsaturated polyester resin
4.429470218970025,-5.900565951538851,C60/Unsaturated polyester resin
7.194825372161667,-6.065767038034939,C60/Unsaturated polyester resin
14.832633315447055,-6.162621159349211,C60/Unsaturated polyester resin
15.332479816406364,-6.164195840615964,C60/Unsaturated polyester resin
15.927495334197912,-6.166210862849679,C60/Unsaturated polyester resin
2.3325796221258943,2.160059008837165,multi-walled CNT/Unsaturated polyester resin
8.417774626299968,1.6838515874758306,multi-walled CNT/Unsaturated polyester resin
10.109760959755201,1.6464753371540652,multi-walled CNT/Unsaturated polyester resin
15.688394422813571,1.484649815752276,multi-walled CNT/Unsaturated polyester resin
19.125941058919448,1.452910506884129,multi-walled CNT/Unsaturated polyester resin
