Pore Size (nm),Fracture Toughness (MPa·m^0.5)
0.5357649864468983,-5.7846467109341155,OAP-POSS/PEMA
7.175049737544368,-6.4242346007127935,OAP-POSS/PEMA
9.898304724951064,-6.4997402811651614,OAP-POSS/PEMA
11.011024892836573,-6.512404302686332,OAP-POSS/PEMA
12.670711462529368,-6.526852173597687,OAP-POSS/PEMA
0.5357649864468983,-3.9372738887753482,silicon dioxide/PEMA
7.175049737544368,-4.296835729489149,silicon dioxide/PEMA
9.898304724951064,-4.444549384367808,silicon dioxide/PEMA
11.011024892836573,-4.478158269424892,silicon dioxide/PEMA
12.670711462529368,-4.540882357627859,silicon dioxide/PEMA
0.5357649864468983,7.704912505072468,Graphite oxide/PEMA
7.175049737544368,7.174235483620745,Graphite oxide/PEMA
9.898304724951064,7.122440783636536,Graphite oxide/PEMA
11.011024892836573,7.105199997636534,Graphite oxide/PEMA
12.670711462529368,7.095910853762813,Graphite oxide/PEMA
