pH,Decomposition Temperature (°C)
0.49236942203796374,2.2734280434438627,0.08% MWNTs/PBD
7.2296104088023245,4.954045595002732,0.08% MWNTs/PBD
10.429227467654382,4.041095218533775,0.08% MWNTs/PBD
12.384981528822628,3.1312354270374767,0.08% MWNTs/PBD
0.49236942203796374,4.606102313476596,0.47% MWNTs/PBD
7.2296104088023245,12.799019648878492,0.47% MWNTs/PBD
10.429227467654382,14.929607652686533,0.47% MWNTs/PBD
12.384981528822628,26.428258584518787,0.47% MWNTs/PBD
0.49236942203796374,3.8354175810175617,0.87% MWNTs/PBD
7.2296104088023245,2.8796641302104677,0.87% MWNTs/PBD
10.429227467654382,2.802777077667375,0.87% MWNTs/PBD
12.384981528822628,2.778754835378957,0.87% MWNTs/PBD
0.49236942203796374,-1.6605687816376746,0.44% MWNTs/PBD
7.2296104088023245,-2.5599120926931613,0.44% MWNTs/PBD
10.429227467654382,-2.6197637397285525,0.44% MWNTs/PBD
12.384981528822628,-2.647452116703906,0.44% MWNTs/PBD
