Calcination Time (h),Polarization Resistance (Ω·m²)
0,-4.461331223657671,0.71% TiNTs/PA63T
7,-4.943413331565587,0.71% TiNTs/PA63T
10,-5.0078874825792825,0.71% TiNTs/PA63T
11,-5.024492461153857,0.71% TiNTs/PA63T
12,-5.032667963245343,0.71% TiNTs/PA63T
0,-4.768426607334723,0.55% TiNTs/PA63T
7,-3.061046075686886,0.55% TiNTs/PA63T
10,-1.380539448090902,0.55% TiNTs/PA63T
11,-2.7701970260856106,0.55% TiNTs/PA63T
12,-5.524765721564922,0.55% TiNTs/PA63T
0,1.469482498416568,0.5% TiNTs/PA63T
7,9.936206242462733,0.5% TiNTs/PA63T
10,29.49567636986233,0.5% TiNTs/PA63T
11,1.421311768735638,0.5% TiNTs/PA63T
12,-8.42249019780806,0.5% TiNTs/PA63T
0,4.602593441617622,0.12% TiNTs/PA63T
7,14.096389393374672,0.12% TiNTs/PA63T
10,12.902763945072742,0.12% TiNTs/PA63T
11,32.1302002083436,0.12% TiNTs/PA63T
12,54.31289717779779,0.12% TiNTs/PA63T
