Tensile Strength (MPa),Charge Transfer Resistance (Ω·m²)
0,8.75179470128632,0.32% SWNTs/PMMA-PnBA-PMMA
3,11.753459013841244,0.32% SWNTs/PMMA-PnBA-PMMA
5,12.928278727271376,0.32% SWNTs/PMMA-PnBA-PMMA
6,14.386542228388105,0.32% SWNTs/PMMA-PnBA-PMMA
9,19.313813763168177,0.32% SWNTs/PMMA-PnBA-PMMA
13,46.761429974580565,0.32% SWNTs/PMMA-PnBA-PMMA
0,-1.0353314040694388,0.9% SWNTs/PMMA-PnBA-PMMA
3,0.7656013129486126,0.9% SWNTs/PMMA-PnBA-PMMA
5,4.529035248451107,0.9% SWNTs/PMMA-PnBA-PMMA
6,3.367693240540347,0.9% SWNTs/PMMA-PnBA-PMMA
9,10.515456210682546,0.9% SWNTs/PMMA-PnBA-PMMA
13,85.34533635981253,0.9% SWNTs/PMMA-PnBA-PMMA
0,3.3684348974740184,0.76% SWNTs/PMMA-PnBA-PMMA
3,3.163687480693466,0.76% SWNTs/PMMA-PnBA-PMMA
5,2.940213500611274,0.76% SWNTs/PMMA-PnBA-PMMA
6,2.933311376196019,0.76% SWNTs/PMMA-PnBA-PMMA
9,2.775488473375006,0.76% SWNTs/PMMA-PnBA-PMMA
13,2.641475599844962,0.76% SWNTs/PMMA-PnBA-PMMA
0,3.9328490875972335,0.3% SWNTs/PMMA-PnBA-PMMA
3,4.5904742323908065,0.3% SWNTs/PMMA-PnBA-PMMA
5,5.038384025366746,0.3% SWNTs/PMMA-PnBA-PMMA
6,5.865809295380246,0.3% SWNTs/PMMA-PnBA-PMMA
9,5.272738438993737,0.3% SWNTs/PMMA-PnBA-PMMA
13,10.996175129430771,0.3% SWNTs/PMMA-PnBA-PMMA
