Decomposition Temperature (°C),Permittivity
0,2.484698666789014,0.9% high abrasion furnace black/UPR
12,1.69600837756637,0.9% high abrasion furnace black/UPR
14,1.6434887217758163,0.9% high abrasion furnace black/UPR
16,1.6132615273919262,0.9% high abrasion furnace black/UPR
18,1.5795710586953187,0.9% high abrasion furnace black/UPR
19,1.5587561394428826,0.9% high abrasion furnace black/UPR
0,-6.607017479717012,0.07% high abrasion furnace black/UPR
12,31.002663248994168,0.07% high abrasion furnace black/UPR
14,-17.0023126834255,0.07% high abrasion furnace black/UPR
16,92.34361124694011,0.07% high abrasion furnace black/UPR
18,367.6041961063937,0.07% high abrasion furnace black/UPR
19,192.68451587629968,0.07% high abrasion furnace black/UPR
