Aspect Ratio,Thermal Conductivity (W/(m·K))
2.1412149221337695,1.5315476725790802,TPP/Polybenzimidazole
2.525708330016445,1.6105824735652212,TPP/Polybenzimidazole
8.90872916532976,1.157306824269387,TPP/Polybenzimidazole
8.961364100457969,1.1526349321201126,TPP/Polybenzimidazole
2.1412149221337695,-0.6042049544614114,SiC powder/Polybenzimidazole
2.525708330016445,-0.6836977301950296,SiC powder/Polybenzimidazole
8.90872916532976,-1.1028225909013578,SiC powder/Polybenzimidazole
8.961364100457969,-1.1006580825175265,SiC powder/Polybenzimidazole
2.1412149221337695,7.69981758640948,montmorillonite/Polybenzimidazole
2.525708330016445,7.7820444000482265,montmorillonite/Polybenzimidazole
8.90872916532976,8.087273789104316,montmorillonite/Polybenzimidazole
8.961364100457969,7.024865149798214,montmorillonite/Polybenzimidazole
2.1412149221337695,2.8873480976807624,9-Anthracenemethanol/Polybenzimidazole
2.525708330016445,2.7599567318392406,9-Anthracenemethanol/Polybenzimidazole
8.90872916532976,3.277800382598442,9-Anthracenemethanol/Polybenzimidazole
8.961364100457969,5.323239006353182,9-Anthracenemethanol/Polybenzimidazole
