Electric Field (V/m),Elastic Modulus (GPa)
0.7766112368816325,5.996876317185744,0.41% zinc oxide/PBA-a
2.118114645926479,6.500163492997262,0.41% zinc oxide/PBA-a
18.02420086366675,12.481045276725265,0.41% zinc oxide/PBA-a
1,6.707416903436472,0.61% zinc oxide/PBA-a
9,11.160690473931684,0.61% zinc oxide/PBA-a
19,691.4611971125422,0.61% zinc oxide/PBA-a
9,21.683384839358,0.06% zinc oxide/PBA-a
12,83.3028538339986,0.06% zinc oxide/PBA-a
13,19.401079353480966,0.06% zinc oxide/PBA-a
2,6.847409793928434,0.07% zinc oxide/PBA-a
15,85.60313579831382,0.07% zinc oxide/PBA-a
16,107.41679868982172,0.07% zinc oxide/PBA-a
