Softening Temperature (°C),Compressive Modulus (GPa)
0.42116482718718373,-0.7755845511652006,carbon nanofibers/Polyetherketoneketone
1.172561703428221,-0.4674821307275123,carbon nanofibers/Polyetherketoneketone
1.1853209742654758,-0.7586438521440602,carbon nanofibers/Polyetherketoneketone
6.019703309163997,-0.06699901811954323,carbon nanofibers/Polyetherketoneketone
12.21448019964405,31.430761391633304,carbon nanofibers/Polyetherketoneketone
0,2.6116542411085026,graphite (as received)/Polyetherketoneketone
3,1.7207039069065817,graphite (as received)/Polyetherketoneketone
11,1.461799604921855,graphite (as received)/Polyetherketoneketone
12,1.4567487553070015,graphite (as received)/Polyetherketoneketone
19,1.4355977002795697,graphite (as received)/Polyetherketoneketone
1,-2.890890205715212,Montmorillonite/Polyetherketoneketone
2,-2.2401667060037616,Montmorillonite/Polyetherketoneketone
5,1.4644564446101986,Montmorillonite/Polyetherketoneketone
12,48.95907039387545,Montmorillonite/Polyetherketoneketone
16,137.2989445276409,Montmorillonite/Polyetherketoneketone
3,8.547027249568357,SiC powder/Polyetherketoneketone
4,8.421690400890485,SiC powder/Polyetherketoneketone
11,7.913314383492317,SiC powder/Polyetherketoneketone
15,7.787748063641128,SiC powder/Polyetherketoneketone
16,7.767017971793008,SiC powder/Polyetherketoneketone
5,8.251482076592488,Na2TiO3/Polyetherketoneketone
14,133.19221354377095,Na2TiO3/Polyetherketoneketone
15,123.40155596475621,Na2TiO3/Polyetherketoneketone
16,231.42951677426197,Na2TiO3/Polyetherketoneketone
17,292.59764755759426,Na2TiO3/Polyetherketoneketone
