Specific Heat Capacity (J/(g·K)),Charge Transfer Resistance (Ω·m²)
3.3407798393481714,-0.3408967342186222,CaCO3/SAN24
4.099281947069877,-0.4242728069852482,CaCO3/SAN24
7.614563617141943,-0.5564619226400229,CaCO3/SAN24
7.788644901338007,-0.573288252385986,CaCO3/SAN24
10.048981380534464,-0.5956145304303055,CaCO3/SAN24
11.881719884553616,-0.6195970081933783,CaCO3/SAN24
0.6727584985994439,4.343060081714171,Synthetic fluorine mica/SAN24
2.3031352122395976,4.93586674342835,Synthetic fluorine mica/SAN24
4.494239179162651,5.0169993512946816,Synthetic fluorine mica/SAN24
5.450310365739717,4.1001655649121025,Synthetic fluorine mica/SAN24
9.59716050072906,6.943805996217282,Synthetic fluorine mica/SAN24
14.796672956609505,12.91733047793925,Synthetic fluorine mica/SAN24
