Gamma Radiation Dose (Gy),Thermal Resistance (K/W)
1.4022874072539193,7.324136204939966,
2.2817110031668064,7.057980661697557,
2.5536223658100687,7.047306265203294,
18.188468279946242,6.608672356993751,
18.437041093000737,6.608717879950378,
2,-0.34917217457229066,
9,-0.2926060698230053,
11,2.281344187992489,
17,1.6929646893306995,
19,6.508101260486731,
1.434065172934842,7.053700230979767,
6.254464052007327,6.510334173345614,
7.4010444281514465,6.506284508576888,
11.513121795277142,6.36049665243887,
14.543630256346948,6.261995184308543,
0,5.699051680533401,
3,4.9756704919441495,
12,4.621296157195887,
13,4.610467343413253,
14,4.605684876983383,
0,2.6447845071914653,
5,1.7102307589861012,
13,1.4993675536169762,
15,1.489123157202125,
17,1.484197275949953,
