Ultrasound Power (W),Impact Strength (kJ/m²)
0.13812381099466586,0.4988043440142128,Nylon 6T
5.880526504075405,1.9983358559937314,Nylon 6T
17.682807722609315,14.480880374612177,Nylon 6T
0.13812381099466586,-5.83791884555622,BPA-Ph
5.880526504075405,-1.1801381969021332,BPA-Ph
17.682807722609315,356.72639848835934,BPA-Ph
0.13812381099466586,-1.107638768078938,PEVA
5.880526504075405,3.8987127498994782,PEVA
17.682807722609315,452.19537794914555,PEVA
0.13812381099466586,-1.8032609624536988,Polyamide-imide
5.880526504075405,-2.0090849212770987,Polyamide-imide
17.682807722609315,-2.439713189089596,Polyamide-imide
0.13812381099466586,7.37343843436626,PVDF
5.880526504075405,6.582324532009271,PVDF
17.682807722609315,6.477707777535697,PVDF
